('x','y','z','intensity','index')
(0.787, 0., 0., 3933., 0)
(0.7428868, 0.01296714, 0., 2095., 1)
(0.75953704, 0.02652362, 0., 2492., 2)
(0.6910516, 0.03621648, 0., 5756., 3)
(0.70328265, 0.04917831, 0., 920., 4)
(0.73120695, 0.06397232, 0., 2581., 5)
(0.7538476, 0.07923257, 0., 5347., 6)
(0.7602903, 0.09335192, 0., 569., 7)
(0.7634967, 0.10730246, 0., 2552., 8)
(0.76545846, 0.1212367, 0., 2494., 9)
(0.758302, 0.13370909, 0., 2713., 10)
(0.76665086, 0.14902183, 0., 2843., 11)
(0.76882404, 0.16341859, 0., 2709., 12)
(0.7678036, 0.17726143, 0., 2540., 13)
(0.75683063, 0.18869907, 0., 2747., 14)
(0.7485925, 0.20058475, 0., 1488., 15)
(0.76179624, -0.24752265, 0., 2618., 342)
(0.7660001, -0.23418976, 0., 2853., 343)
(0.7526679, -0.21582408, 0., 2499., 344)
(0.7524562, -0.20162007, 0., 2511., 345)
(0.76071185, -0.1896668, 0., 2603., 346)
(0.7531881, -0.17388721, 0., 2807., 347)
(0.76197696, -0.16196324, 0., 2540., 348)
(0.7617427, -0.14806782, 0., 2508., 349)
(0.7642108, -0.13475102, 0., 2626., 350)
(0.7634831, -0.12092388, 0., 2718., 351)
(0.7605259, -0.10688498, 0., 2470., 352)
(0.75830525, -0.09310821, 0., 2829., 353)
(0.7170503, -0.07536506, 0., 2258., 354)
(0.7591004, -0.06641272, 0., 2930., 355)
(0.817005, -0.05713059, 0., 3894., 356)
(0.73898584, -0.03872864, 0., 1836., 357)
(0.74954313, -0.02617466, 0., 2734., 358)
(0.75988424, -0.01326387, 0., 1206., 359)
(0.739, 0., 0., 2788., 0)
(0.7478861, 0.0130544, 0., 3144., 1)
(0.8384889, 0.02928068, 0., 765., 2)
(0.7599571, 0.03982766, 0., 2622., 3)
(0.64243126, 0.04492317, 0., 1125., 4)
(0.7302107, 0.06388516, 0., 1285., 5)
(0.796612, 0.0837273, 0., 2888., 6)
(0.69577485, 0.08543041, 0., 588., 7)
(0.7783507, 0.10939006, 0., 2632., 8)
(0.78224915, 0.12389609, 0., 2579., 9)
(0.7858766, 0.13857125, 0., 2474., 10)
(0.7705774, 0.14978507, 0., 2966., 11)
(0.78154, 0.16612144, 0., 2820., 12)
(0.78047043, 0.1801858, 0., 2818., 13)
(0.7762366, 0.19353752, 0., 2972., 14)
(0.76018363, 0.20369059, 0., 5147., 15)
(0.75418776, -0.2450505, 0., 2816., 342)
(0.75834966, -0.23185079, 0., 2698., 343)
(0.7488228, -0.21472153, 0., 2365., 344)
(0.7582518, -0.203173, 0., 2600., 345)
(0.76265246, -0.19015065, 0., 2603., 346)
(0.76877797, -0.17748642, 0., 2758., 347)
(0.7658896, -0.16279489, 0., 2724., 348)
(0.7676325, -0.14921267, 0., 2469., 349)
(0.758302, -0.13370913, 0., 2861., 350)
(0.76447076, -0.12108031, 0., 2730., 351)
(0.76646745, -0.10772002, 0., 2613., 352)
(0.7602903, -0.09335195, 0., 2537., 353)
(0.75185853, -0.07902355, 0., 2026., 354)
(0.74116886, -0.06484391, 0., 2532., 355)
(0.75814867, -0.05301496, 0., 3235., 356)
(0.77493656, -0.04061274, 0., 1833., 357)
(0.7635346, -0.02666325, 0., 2370., 358)
(0.7818809, -0.01364782, 0., 2411., 359)
(0.76, 0., 0., 2609., 0)
(0.6459016, 0.01127425, 0., 5479., 1)
(0.7315541, 0.02554643, 0., 1702., 2)
(0.789916, 0.04139774, 0., 3092., 3)
(0.7900707, 0.05524713, 0., 3619., 4)
(0.7899824, 0.0691145, 0., 446., 5)
(0.77970517, 0.08195031, 0., 2545., 6)
(0.68882704, 0.08457732, 0., 798., 7)
(0.72784704, 0.10229223, 0., 1016., 8)
(0.7634831, 0.12092384, 0., 2496., 9)
(0.7612564, 0.13423005, 0., 2640., 10)
(0.7587978, 0.14749536, 0., 2737., 11)
(0.76784587, 0.16321068, 0., 2648., 12)
(0.7697524, 0.17771134, 0., 2666., 13)
(0.7655633, 0.19087636, 0., 2543., 14)
(0.7640473, 0.20472586, 0., 2704., 15)
(0.78367054, -0.25463003, 0., 2868., 342)
(0.74783033, -0.22863472, 0., 2420., 343)
(0.7449778, -0.21361898, 0., 2394., 344)
(0.741831, -0.19877306, 0., 2473., 345)
(0.75003856, -0.18700565, 0., 2885., 346)
(0.7483162, -0.17276245, 0., 2685., 347)
(0.7482829, -0.15905248, 0., 2378., 348)
(0.7597794, -0.1476862, 0., 2615., 349)
(0.7573171, -0.13353549, 0., 2735., 350)
(0.76052, -0.12045457, 0., 2780., 351)
(0.7585453, -0.10660663, 0., 2886., 352)
(0.763268, -0.09371756, 0., 2694., 353)
(0.71506125, -0.075156, 0., 2181., 354)
(0.76408136, -0.06684849, 0., 2907., 355)
(0.7631365, -0.05336374, 0., 3476., 356)
(0.76195437, -0.03993237, 0., 1777., 357)
(0.74554557, -0.02603506, 0., 2571., 358)
(0.75688475, -0.01321151, 0., 1157., 359)
(0.752, 0., 0., 2336., 0)
(0.76488346, 0.01335109, 0., 3883., 1)
(0.7725291, 0.02697731, 0., 837., 2)
(0.77293926, 0.04050803, 0., 2417., 3)
